trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
0,0.746721829087797,1952,1,1,2,6,1,65+,Male,White,Postgraduate,3,25
0,0.585755333830618,1952,1,1,2,6,2,65+,Male,White,Postgraduate,1,39
0,1.10959322304935,1948,2,1,2,5,4,65+,Female,White,College degree,1,6
0,0.277863553743831,1952,2,1,2,6,4,65+,Female,White,Postgraduate,3,30
0,0.532124217774701,1952,1,1,2,5,2,65+,Male,White,College degree,1,26
0,1.04972503577107,1959,2,1,2,5,3,45-64,Female,White,College degree,5,48
0,0.765475038041996,1968,2,1,2,4,3,45-64,Female,White,Some college,5,48
0,0.86874187007212,1945,2,1,2,5,3,65+,Female,White,College degree,1,47
0,1.34327298802684,1949,2,1,2,6,2,65+,Female,White,Postgraduate,1,17
1,1.58683022590495,1943,1,1,2,5,2,65+,Male,White,College degree,3,17
1,1.27374173926134,1949,1,1,2,5,3,65+,Male,White,College degree,2,12
0,0.748286693576655,1936,1,1,2,6,4,65+,Male,White,Postgraduate,1,6
0,0.469082011077594,1947,2,1,2,6,3,65+,Female,White,Postgraduate,1,5
0,0.752144327187158,1949,2,1,2,6,3,65+,Female,White,Postgraduate,3,51
0,0.464177108911598,1943,1,1,2,5,3,65+,Male,White,College degree,1,1
1,2.34432525634111,1954,2,1,2,3,2,65+,Female,White,Some college,2,26
0,1.79356845060485,1967,2,4,2,5,4,45-64,Female,Asian,College degree,1,41
0,0.949333820459927,1942,2,1,2,5,4,65+,Female,White,College degree,1,6
1,0.534366627770915,1943,1,7,2,5,2,65+,Male,Other,College degree,3,39
1,1.13568023774741,1955,2,1,2,6,1,65+,Female,White,Postgraduate,2,36
1,0.882915331480228,1946,1,1,2,6,3,65+,Male,White,Postgraduate,2,48
0,0.667901015642547,1957,2,1,2,3,3,45-64,Female,White,Some college,1,12
0,0.560274731701827,1953,1,1,2,6,3,65+,Male,White,Postgraduate,1,48
0,0.948288284602004,1951,2,1,2,6,1,65+,Female,White,Postgraduate,1,36
0,0.920875604450443,1959,2,1,2,5,4,45-64,Female,White,College degree,1,6
1,1.31431114323856,1945,2,1,2,5,1,65+,Female,White,College degree,2,36
0,0.260492823202608,1956,1,3,NA,6,4,45-64,Male,Hispanic,Postgraduate,3,6
0,0.390406892299337,1960,2,1,2,4,4,45-64,Female,White,Some college,1,32
1,1.28672572479407,1954,2,1,2,6,3,65+,Female,White,Postgraduate,2,48
0,0.920896841797095,1951,1,1,2,3,2,65+,Male,White,Some college,3,55
0,0.743860674654382,1948,2,1,2,4,3,65+,Female,White,Some college,3,37
1,0.778479113016543,1949,1,1,2,4,3,65+,Male,White,Some college,2,47
0,0.748286693576655,1944,1,1,2,6,4,65+,Male,White,Postgraduate,1,6
1,0.809424551711807,1943,1,1,2,3,4,65+,Male,White,Some college,4,41
0,0.810306408162942,1930,2,1,2,6,2,65+,Female,White,Postgraduate,1,20
1,0.919963782694642,1985,2,1,2,6,3,30-44,Female,White,Postgraduate,3,1
0,0.436143210486401,1954,1,1,2,3,4,65+,Male,White,Some college,3,32
0,0.615765352575166,1932,1,1,2,6,4,65+,Male,White,Postgraduate,3,53
1,1.03732827687299,1968,1,1,2,5,3,45-64,Male,White,College degree,4,10
0,0.456997617197654,1968,1,1,2,6,4,45-64,Male,White,Postgraduate,1,41
0,0.672372308004737,1944,1,1,2,6,2,65+,Male,White,Postgraduate,1,17
0,0.707131192734441,1952,2,1,2,6,3,65+,Female,White,Postgraduate,1,47
0,0.450511166875534,1973,1,1,2,6,4,45-64,Male,White,Postgraduate,1,6
1,1.68473198083323,1958,2,1,2,6,2,45-64,Female,White,Postgraduate,2,19
