year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,pctWhiteNH
2016,ARKANSAS,AR,DREW,05043,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2365,6595,20220315,TOTAL,68.00475444378411
2016,ARKANSAS,AR,FAULKNER,05045,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,14629,47527,20220315,TOTAL,82.41652463417434
2016,ARKANSAS,AR,FRANKLIN,05047,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1376,6770,20220315,TOTAL,93.77655172413793
2016,ARKANSAS,AR,FULTON,05049,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1067,4772,20220315,TOTAL,96.40669661086157
2016,ARKANSAS,AR,GARLAND,05051,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,12311,40805,20220315,TOTAL,83.95921852870116
2016,ARKANSAS,AR,GRANT,05053,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1373,7445,20220315,TOTAL,94.10743292443847
2016,ARKANSAS,AR,GREENE,05055,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3071,14600,20220315,TOTAL,95.4288429555714
2016,ARKANSAS,AR,HEMPSTEAD,05057,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2377,7049,20220315,TOTAL,56.48193197399266
2016,ARKANSAS,AR,HOT SPRING,05059,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3149,11944,20220315,TOTAL,84.14482276827749
2016,ARKANSAS,AR,HOWARD,05061,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1351,4674,20220315,TOTAL,67.38704764667489
2016,ARKANSAS,AR,INDEPENDENCE,05063,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2881,13614,20220315,TOTAL,89.81362730919311
2016,ARKANSAS,AR,IZARD,05065,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1113,5448,20220315,TOTAL,94.96203271028037
2016,ARKANSAS,AR,JACKSON,05067,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1583,5156,20220315,TOTAL,78.79090959604379
2016,ARKANSAS,AR,JEFFERSON,05069,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,15772,25894,20220315,TOTAL,41.38955252792665
2016,ARKANSAS,AR,JOHNSON,05071,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2427,9112,20220315,TOTAL,83.5082223962412
2016,ARKANSAS,AR,LAFAYETTE,05073,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1032,2860,20220315,TOTAL,59.94767822105952
2016,ARKANSAS,AR,LAWRENCE,05075,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1263,5685,20220315,TOTAL,96.74418604651163
2016,ARKANSAS,AR,LEE,05077,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1735,3026,20220315,TOTAL,41.44282425172678
2016,ARKANSAS,AR,LINCOLN,05079,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1252,3826,20220315,TOTAL,65.77048252440922
2016,ARKANSAS,AR,LITTLE RIVER,05081,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1397,5227,20220315,TOTAL,74.6412573077215
2016,ARKANSAS,AR,LOGAN,05083,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1715,7921,20220315,TOTAL,92.19344159620633
2016,ARKANSAS,AR,LONOKE,05085,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5664,27100,20220315,TOTAL,87.93375855813682
2016,ARKANSAS,AR,MADISON,05087,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1588,6841,20220315,TOTAL,91.9450276770376
2016,ARKANSAS,AR,MARION,05089,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1434,7107,20220315,TOTAL,95.85660241397946
2016,ARKANSAS,AR,MILLER,05091,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4273,16091,20220315,TOTAL,70.6157102756431
2016,ARKANSAS,AR,MISSISSIPPI,05093,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5670,13204,20220315,TOTAL,60.46901893287435
2016,ARKANSAS,AR,MONROE,05095,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1312,2884,20220315,TOTAL,55.82280034360044
2016,ARKANSAS,AR,MONTGOMERY,05097,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,748,3559,20220315,TOTAL,92.82175608727734
2016,ARKANSAS,AR,NEVADA,05099,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1157,3246,20220315,TOTAL,65.14393686784483
2016,ARKANSAS,AR,NEWTON,05101,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,699,3753,20220315,TOTAL,94.76590636254501
2016,ARKANSAS,AR,OUACHITA,05103,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4321,9935,20220315,TOTAL,56.301684532924966
2016,ARKANSAS,AR,PERRY,05105,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1049,4306,20220315,TOTAL,93.6237434179033
2016,ARKANSAS,AR,PHILLIPS,05107,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4310,6953,20220315,TOTAL,34.63253205864779
2016,ARKANSAS,AR,PIKE,05109,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,685,3981,20220315,TOTAL,88.23841998051546
2016,ARKANSAS,AR,POINSETT,05111,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1880,7722,20220315,TOTAL,89.00866452426473
2016,ARKANSAS,AR,POLK,05113,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1212,8231,20220315,TOTAL,89.77349724131255
2016,ARKANSAS,AR,POPE,05115,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5000,22569,20220315,TOTAL,86.90449201671146
2016,ARKANSAS,AR,PRAIRIE,05117,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,814,3444,20220315,TOTAL,85.71428571428571
2016,ARKANSAS,AR,PULASKI,05119,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,89574,159776,20220315,TOTAL,55.30975994649221
2016,ARKANSAS,AR,RANDOLPH,05121,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1425,6379,20220315,TOTAL,95.86510100729033
2016,ARKANSAS,AR,ST. FRANCIS,05123,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4031,7430,20220315,TOTAL,42.37030221530186
